Population	Parent	Identity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	AlleleCount
0	36	645	0	0	1	3	1.000000	1.000000	19.496384	1
0	378	646	0	0	1	3	1.000000	1.000000	19.499620	3
0	491	647	0	0	1	3	1.000000	1.000000	19.503456	1
0	123	654	0	0	1	5	1.000000	1.000000	19.577322	1
0	76	651	0	0	1	5	1.000000	1.000000	19.540003	1
2	500	661	0	0	1	3	1.000000	1.000000	19.616697	2
1	259	656	0	0	1	4	1.000000	1.000000	19.579987	1
1	254	657	0	0	1	5	1.000000	1.000000	19.584200	5
1	16	660	0	0	1	3	1.000000	1.000000	19.600859	1
1	551	664	1	0	1	4	1.250614	1.000000	19.685190	1
1	378	665	0	0	1	3	1.000000	1.000000	19.701063	1
1	654	669	0	0	1	6	1.000000	1.000000	19.776154	1
0	36	673	0	0	1	3	1.000000	1.000000	19.784296	1
1	479	676	0	0	1	4	1.000000	1.000000	19.815666	3
0	250	675	1	0	1	3	1.340086	1.000000	19.807295	1
1	597	678	0	0	0	3	1.000000	1.000000	19.857346	1
1	79	679	1	0	0	2	1.105947	1.000000	19.870411	1
0	626	680	0	0	1	4	1.000000	1.000000	19.873791	1
0	257	684	1	0	1	2	1.090827	1.000000	19.896629	1
0	541	682	0	0	1	3	1.000000	1.000000	19.886868	1
1	36	683	0	0	1	3	1.000000	1.000000	19.887159	3
0	360	687	0	0	1	3	1.000000	1.000000	19.957645	1
0	293	691	0	0	1	2	1.000000	1.000000	19.976294	1
0	96	689	0	0	1	5	1.000000	1.000000	19.973585	1
0	250	690	0	0	1	4	1.000000	1.000000	19.974100	3
1	23	692	0	0	0	2	1.000000	1.000000	19.995005	1
1	0	693	0	0	0	1	1.000000	1.000000	19.996046	1
0	267	696	1	0	1	4	1.268862	1.000000	20.023348	1
0	413	697	1	0	1	5	1.018019	1.000000	20.026022	1
0	0	698	1	0	1	0	1.013306	1.000000	20.050257	1
0	376	699	0	0	1	3	1.000000	1.000000	20.054771	1
0	267	700	1	0	1	4	1.268862	1.000000	20.058329	1
2	183	703	0	0	1	3	1.000000	1.000000	20.103498	11
1	230	710	0	0	0	3	1.000000	1.000000	20.161169	1
0	123	707	0	0	1	5	1.000000	1.000000	20.135235	1
0	22	711	0	0	1	2	1.000000	1.000000	20.161945	1
0	699	712	0	0	1	4	1.000000	1.000000	20.170605	1
0	0	715	0	0	1	2	1.000000	1.000000	20.239744	1
0	22	714	0	0	1	3	1.000000	1.000000	20.188345	1
0	211	716	0	0	1	4	1.000000	1.000000	20.249763	1
1	250	718	0	0	1	4	1.000000	1.000000	20.276157	2
0	281	719	0	0	1	2	1.000000	1.000000	20.295191	1
0	383	720	0	0	1	4	1.000000	1.000000	20.307882	1
1	84	721	0	0	0	2	1.000000	1.000000	20.326349	1
0	293	723	0	0	1	2	1.000000	1.000000	20.333464	1
1	574	725	0	0	0	3	1.000000	1.000000	20.358568	1
1	41	728	0	0	0	5	1.000000	1.000000	20.394394	1
0	36	730	0	0	1	3	1.000000	1.000000	20.405499	1
1	84	738	0	0	0	2	1.000000	1.000000	20.477596	1
1	429	734	0	0	0	3	1.000000	1.000000	20.440205	1
1	627	736	0	0	1	6	1.000000	1.000000	20.460751	1
0	711	742	0	0	1	3	1.000000	1.000000	20.496189	1
0	53	740	1	0	1	3	1.193557	1.000000	20.484291	1
1	281	747	0	0	1	2	1.000000	1.000000	20.546976	9
1	128	746	0	0	1	2	1.000000	1.000000	20.546125	1
0	30	749	1	0	1	1	1.085359	1.000000	20.554728	1
1	537	750	0	0	1	4	1.000000	1.000000	20.562241	1
1	700	753	1	0	1	5	1.268862	1.000000	20.572489	1
0	79	752	1	0	1	2	1.040237	1.000000	20.567600	1
0	427	754	0	0	1	5	1.000000	1.000000	20.572708	1
1	123	755	0	0	0	5	1.000000	1.000000	20.579920	1
0	364	757	0	0	1	6	1.000000	1.000000	20.623371	1
0	622	759	0	0	1	4	1.000000	1.000000	20.664557	1
1	584	760	0	0	1	3	1.000000	1.000000	20.665655	1
0	520	763	1	0	1	2	1.120702	1.000000	20.714695	1
0	84	764	0	0	1	2	1.000000	1.000000	20.720020	1
1	118	766	0	0	1	2	1.000000	1.000000	20.735039	1
1	604	767	2	0	0	2	1.224324	1.000000	20.738724	1
0	391	769	0	0	1	5	1.000000	1.000000	20.749237	1
1	84	770	0	0	0	2	1.000000	1.000000	20.762001	1
1	341	775	0	0	1	5	1.000000	1.000000	20.791531	1
0	585	772	0	0	1	3	1.000000	1.000000	20.769203	1
0	561	774	0	0	1	3	1.000000	1.000000	20.778540	1
1	39	776	0	0	0	2	1.000000	1.000000	20.791712	1
0	684	777	1	0	1	3	1.090827	1.000000	20.799397	1
