Generation	Population	RecentBirths	RecentDeaths	RecentMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
161.393616	26958	36822	36382	36822	2.820610	0.000185	2.302554	0.000185	1.000023	1.000000	0.000003	0.000000	26889	2690	2	26838	26838	26953	5	0	0	0	0	0	0	0	0	0
162.393692	27343	64089	63264	64089	2.840215	0.000183	2.337746	0.000183	1.000023	1.000000	0.000003	0.000000	27274	2683	2	27209	27209	27338	5	0	0	0	0	0	0	0	0	0
163.393692	27697	91252	90073	91252	2.863162	0.000144	2.358159	0.000144	1.000018	1.000000	0.000002	0.000000	27640	2732	2	27565	27565	27693	4	0	0	0	0	0	0	0	0	0
164.393707	28039	119125	117604	119125	2.881665	0.000250	2.380742	0.000250	1.000029	1.000000	0.000003	0.000000	27957	2783	3	27900	27900	28032	7	0	0	0	0	0	0	0	0	0
165.393707	28345	147039	145212	147039	2.902946	0.000318	2.388553	0.000317	1.000037	1.000000	0.000005	0.000000	28281	2875	3	28224	28224	28336	9	0	0	0	0	0	0	0	0	0
166.393738	28740	175712	173490	175712	2.931976	0.000209	2.397560	0.000209	1.000026	1.000000	0.000003	0.000000	28662	2870	2	28585	28585	28734	6	0	0	0	0	0	0	0	0	0
167.393738	29053	204363	201828	204363	2.949885	0.000241	2.417898	0.000241	1.000030	1.000000	0.000004	0.000000	28981	2895	2	28917	28917	29046	7	0	0	0	0	0	0	0	0	0
168.393768	29419	233809	230908	233809	2.968864	0.000204	2.427891	0.000204	1.000025	1.000000	0.000003	0.000000	29339	2942	2	29280	29280	29413	6	0	0	0	0	0	0	0	0	0
169.393768	29807	263514	260225	263514	2.987319	0.000134	2.444857	0.000134	1.000017	1.000000	0.000002	0.000000	29733	3006	2	29671	29671	29803	4	0	0	0	0	0	0	0	0	0
170.393768	30181	11676	11576	11676	3.005235	0.000166	2.477822	0.000166	1.000021	1.000000	0.000003	0.000000	30108	3020	2	30034	30034	30176	5	0	0	0	0	0	0	0	0	0
171.393784	30574	42050	41557	42050	3.028521	0.000229	2.503151	0.000229	1.000029	1.000000	0.000004	0.000000	30500	3112	2	30430	30430	30567	7	0	0	0	0	0	0	0	0	0
172.393814	30931	72869	72019	72869	3.047008	0.000194	2.510301	0.000194	1.000024	1.000000	0.000003	0.000000	30840	3090	2	30765	30765	30925	6	0	0	0	0	0	0	0	0	0
173.393875	31278	103981	102784	103981	3.063207	0.000192	2.534959	0.000192	1.000024	1.000000	0.000003	0.000000	31196	3101	2	31107	31107	31272	6	0	0	0	0	0	0	0	0	0
174.393875	31641	135436	133876	135436	3.086786	0.000126	2.549659	0.000126	1.000016	1.000000	0.000002	0.000000	31555	3180	2	31489	31489	31637	4	0	0	0	0	0	0	0	0	0
175.393890	32053	167300	165328	167300	3.104452	0.000094	2.574631	0.000094	1.000012	1.000000	0.000001	0.000000	31970	3205	2	31884	31884	32050	3	0	0	0	0	0	0	0	0	0
176.393890	32424	199487	197144	199487	3.124476	0.000062	2.608620	0.000062	1.000008	1.000000	0.000001	0.000000	32343	3274	2	32263	32263	32422	2	0	0	0	0	0	0	0	0	0
177.393906	32816	232159	229424	232159	3.142095	0.000091	2.611781	0.000091	1.000011	1.000000	0.000001	0.000000	32732	3301	2	32667	32667	32813	3	0	0	0	0	0	0	0	0	0
178.393921	33215	265292	262158	265292	3.167003	0.000090	2.630708	0.000090	1.000011	1.000000	0.000001	0.000000	33120	3344	2	33040	33040	33212	3	0	0	0	0	0	0	0	0	0
179.393936	33611	298553	295023	298553	3.181250	0.000060	2.638046	0.000059	1.000007	1.000000	0.000001	0.000000	33501	3381	2	33415	33415	33609	2	0	0	0	0	0	0	0	0	0
180.393951	33993	12839	12693	12839	3.203718	0.000177	2.646343	0.000176	1.000022	1.000000	0.000003	0.000000	33911	3458	2	33831	33831	33987	6	0	0	0	0	0	0	0	0	0
181.393951	34418	47496	46925	47496	3.220466	0.000232	2.662300	0.000232	1.000032	1.000000	0.000004	0.000000	34315	3466	3	34237	34237	34410	8	0	0	0	0	0	0	0	0	0
182.393967	34826	82253	81274	82253	3.238241	0.000316	2.679503	0.000316	1.000042	1.000000	0.000006	0.000000	34738	3477	3	34654	34654	34815	11	0	0	0	0	0	0	0	0	0
183.393967	35219	117180	115808	117180	3.249979	0.000284	2.676590	0.000284	1.000037	1.000000	0.000005	0.000000	35140	3543	3	35071	35071	35209	10	0	0	0	0	0	0	0	0	0
184.393967	35663	152372	150556	152372	3.269663	0.000224	2.687551	0.000224	1.000029	1.000000	0.000004	0.000000	35572	3584	3	35488	35488	35655	8	0	0	0	0	0	0	0	0	0
185.393982	36079	188159	185927	188159	3.291749	0.000194	2.734276	0.000194	1.000024	1.000000	0.000003	0.000000	35986	3634	2	35886	35886	36072	7	0	0	0	0	0	0	0	0	0
186.393982	36468	224200	221579	224200	3.312630	0.000165	2.769230	0.000164	1.000021	1.000000	0.000003	0.000000	36362	3692	2	36275	36275	36462	6	0	0	0	0	0	0	0	0	0
187.393997	36847	260747	257747	260747	3.329796	0.000190	2.790651	0.000190	1.000024	1.000000	0.000003	0.000000	36753	3726	2	36687	36687	36840	7	0	0	0	0	0	0	0	0	0
188.393997	37251	298057	294653	298057	3.346863	0.000268	2.821748	0.000268	1.000030	1.000000	0.000004	0.000000	37161	3787	4	37086	37086	37241	10	0	0	0	0	0	0	0	0	0
